Name,Iq Settling Time (s),Iq Rise Time (s),Ppoc Recovery Time (s),Enters FRT,Assessment
CSR_5255_CSRUnbalancedFaults_055_FL5591_X2R12.04_P-1_Q0_V1.06,0.2275,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_056_FL5591_X2R12.04_P-1_Q-1_V1.06,0.12125,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_057_FL5591_X2R12.04_P-1_Q1_V1.06,0.3875,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_058_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.225,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_059_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.25375,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_060_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.38125,0.0025,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_061_FL3185_X2R11.24_P1_Q0_V1.06,0.2175,0.00875,0.03325,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_062_FL3185_X2R11.24_P1_Q-1_V1.06,0.1775,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_063_FL3185_X2R11.24_P1_Q1_V1.06,0.385,0.00875,0.141,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_064_FL3185_X2R11.24_P0.05_Q0_V1.06,0.30125,0.0025,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_065_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.22375,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_066_FL3185_X2R11.24_P0.05_Q1_V1.06,0.38,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_067_FL3185_X2R11.24_P-1_Q0_V1.06,0.2225,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_068_FL3185_X2R11.24_P-1_Q-1_V1.06,0.22875,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_085_FL3185_X2R11.24_P1_Q0_V1.06,0.2175,0.00875,0.03325,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_086_FL3185_X2R11.24_P1_Q-1_V1.06,0.1775,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_087_FL3185_X2R11.24_P1_Q1_V1.06,0.385,0.00875,0.141,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_088_FL3185_X2R11.24_P0.05_Q0_V1.06,0.30125,0.0025,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_089_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.22375,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_090_FL3185_X2R11.24_P0.05_Q1_V1.06,0.38,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_091_FL3185_X2R11.24_P-1_Q0_V1.06,0.2225,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_092_FL3185_X2R11.24_P-1_Q-1_V1.06,0.22875,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_093_FL3185_X2R11.24_P-1_Q1_V1.06,0.38625,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_094_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.30125,0.0025,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_095_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.22375,0.00375,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_096_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.38,0.0025,0,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_098_FL5591_X2R12.04_P1_Q-1_V1.06,0.1375,0.01375,0.13425,FALSE,N/A
CSR_5255_CSRUnbalancedFaults_123_FL5591_X2R12.04_P1_Q1_V1.06,0.10875,0.0125,0.13625,TRUE,See Discussion
CSR_5255_CSRBalancedFaults_018_FL3185_X2R11.24_P0.05_Q1_V1.06,0.10375,0.0125,0.162,TRUE,See Discussion
CSR_5255_CSRBalancedFaults_015_FL3185_X2R11.24_P1_Q1_V1.06,0.0725,0.01375,0.1415,TRUE,See Discussion
CSR_5255_CSRUnbalancedFaults_015_FL3185_X2R11.24_P1_Q1_V1.06,0.07125,0.0125,0.142,TRUE,See Discussion
CSR_5255_CSRBalancedFaults_021_FL3185_X2R11.24_P-1_Q1_V1.06,0.1325,0,0,TRUE,See Discussion
CSR_5255_CSRBalancedFaults_009_FL5591_X2R12.04_P-1_Q1_V1.06,0.11625,0,0,TRUE,See Discussion
CSR_5255_CSRBalancedFaults_024_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.10875,0,0,TRUE,See Discussion
CSR_5255_CSRUnbalancedFaults_024_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.1,0.01125,0,TRUE,See Discussion
CSR_5255_CSRUnbalancedFaults_100_FL5591_X2R12.04_P0.05_Q0_V1.06,0.0775,0.01125,0,TRUE,See Discussion
CSR_5255_CSRUnbalancedFaults_115_FL3185_X2R11.24_P-1_Q0_V1.06,0.07125,0.01125,0,TRUE,See Discussion
CSR_5255_CSRUnbalancedFaults_139_FL3185_X2R11.24_P-1_Q0_V1.06,0.07125,0.01125,0,TRUE,See Discussion
CSR_5255_CSRUnbalancedFaults_117_FL3185_X2R11.24_P-1_Q1_V1.06,0.07125,0.01,0,TRUE,See Discussion
CSR_5255_CSRUnbalancedFaults_141_FL3185_X2R11.24_P-1_Q1_V1.06,0.07125,0.01,0,TRUE,See Discussion
CSR_5255_CSRUnbalancedFaults_045_FL3185_X2R11.24_P-1_Q1_V1.06,0.07125,0.00875,0,TRUE,See Discussion
CSR_5255_CSRBalancedFaults_012_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.07125,0,0,TRUE,See Discussion
